Player Name,Team,Agents,Stats
trexx,VIT,"sova, fade","1.23, 228.0, 1.24, 72%"
Derke,FNC,"raze, yoru","1.22, 257.4, 1.33, 72%"
primmie,TLN,"yoru, sage, clove","1.22, 243.0, 1.32, 74%"
Chronicle,FNC,"viper, sova","1.21, 224.4, 1.23, 73%"
keznit,KRÜ,"neon, omen, raze","1.18, 250.8, 1.16, 76%"
CHICHOO,EDG,"omen, viper, killjoy","1.18, 221.5, 1.24, 76%"
Meteor,GEN,"killjoy, yoru, cypher","1.17, 241.1, 1.32, 71%"
RieNs,TH,"sova, gekko, viper","1.15, 214.2, 1.17, 75%"
Smoggy,EDG,"clove, brimstone, viper","1.14, 213.1, 1.21, 76%"
t3xture,GEN,"jett, raze","1.14, 242.6, 1.17, 69%"
aspas,LEV,"raze, jett, neon","1.14, 220.5, 1.19, 74%"
zekken,SEN,"jett, raze, neon","1.12, 252.2, 1.17, 71%"
TenZ,SEN,"omen, gekko, kayo","1.10, 213.4, 1.08, 75%"
Kai,TE,"jett, cypher, killjoy","1.10, 213.9, 1.10, 70%"
ZmjjKK,EDG,"neon, raze, jett","1.10, 250.8, 1.20, 69%"
Alfajer,FNC,"gekko, killjoy, breach","1.09, 209.7, 1.11, 73%"
Autumn,FPX,"viper, chamber","1.08, 211.8, 1.12, 71%"
Shyy,KRÜ,"cypher, viper, killjoy","1.07, 211.1, 1.16, 69%"
yetujey,FUT,"cypher, viper","1.07, 231.8, 1.14, 69%"
mindfreak,PRX,"viper, omen, brimstone","1.06, 210.1, 1.04, 78%"
Kicks,VIT,"kayo, gekko, breach","1.05, 187.1, 0.92, 72%"
Flashback,DRX,"cypher, viper, killjoy","1.04, 202.3, 1.16, 76%"
kiNgg,LEV,"brimstone, omen, viper","1.04, 185.1, 1.04, 75%"
LuoK1ng,TE,"omen, brimstone, astra","1.04, 201.6, 1.10, 74%"
heat,KRÜ,"breach, sova, fade","1.03, 191.4, 1.09, 74%"
MaKo,DRX,"omen, brimstone, viper","1.02, 192.7, 0.99, 77%"
BuZz,DRX,"jett, raze, neon","1.01, 241.3, 1.11, 68%"
Sacy,SEN,"sova, fade, gekko","1.01, 190.1, 0.90, 74%"
Sayf,VIT,"jett, neon, raze","1.01, 210.0, 1.03, 67%"
johnqt,SEN,"cypher, deadlock, viper","1.00, 162.2, 1.01, 74%"
valyn,G2,"harbor, omen, brimstone","0.99, 191.2, 0.99, 72%"
S1Mon,EDG,"breach, fade, kayo","0.99, 164.5, 0.89, 76%"
Karon,GEN,"omen, astra, brimstone","0.99, 180.4, 1.00, 73%"
cNed,FUT,"jett, raze","0.99, 222.3, 0.99, 67%"
Wo0t,TH,"gekko, fade, omen","0.99, 189.6, 0.97, 75%"
Zellsis,SEN,"breach, cypher, brimstone","0.98, 175.1, 0.93, 73%"
hiro,FNC,"fade, viper, cypher","0.98, 185.2, 1.02, 73%"
ban,TLN,"skye, phoenix, deadlock","0.98, 184.0, 1.04, 72%"
C0M,LEV,"viper, sova, fade","0.98, 192.8, 0.95, 70%"
Boo,TH,"astra, brimstone, fade","0.98, 180.2, 0.95, 74%"
MiniBoo,TH,"jett, raze, yoru","0.97, 206.0, 0.99, 69%"
leaf,G2,"killjoy, viper","0.97, 202.7, 0.93, 69%"
AAAAY,FPX,"fade, gekko","0.97, 181.8, 1.05, 68%"
benjyfishy,TH,"cypher, viper, killjoy","0.96, 190.3, 1.02, 69%"
BerLIN,FPX,"omen, astra, breach","0.96, 178.6, 0.92, 69%"
trent,G2,"sova, fade, gekko","0.96, 195.9, 0.89, 68%"
Mazino,LEV,"skye, deadlock, breach","0.95, 194.8, 0.94, 70%"
Munchkin,GEN,"viper, kayo","0.95, 191.6, 0.84, 78%"
f0rsakeN,PRX,"sova, kayo, breach","0.95, 181.9, 0.93, 68%"
FengF,TE,"killjoy, raze, cypher","0.95, 203.1, 1.02, 67%"
BeYN,DRX,"sova, fade","0.95, 175.6, 0.97, 73%"
qRaxs,FUT,"breach, fade, gekko","0.94, 155.5, 0.88, 70%"
icy,G2,"gekko, raze, yoru","0.93, 183.2, 0.88, 67%"
nobody,EDG,"fade, gekko, sova","0.93, 180.2, 0.95, 72%"
d4v41,PRX,"killjoy, fade, sage","0.93, 181.0, 0.87, 72%"
something,PRX,"jett, gekko","0.93, 205.0, 0.93, 69%"
Flex1n,BLG,"brimstone, omen, viper","0.93, 182.5, 0.83, 73%"
Foxy9,DRX,"breach, kayo, gekko","0.93, 180.3, 0.93, 71%"
whzy,BLG,"raze, neon, jett","0.92, 245.3, 0.91, 65%"
runneR,VIT,"killjoy, cypher, viper","0.91, 205.1, 0.88, 68%"
Jinggg,PRX,"sage, neon, raze","0.91, 209.7, 0.88, 69%"
Melser,KRÜ,"omen, harbor, brimstone","0.91, 178.6, 0.86, 69%"
ceNder,VIT,"omen, viper","0.88, 167.0, 0.90, 68%"
mta,KRÜ,"sova, kayo, gekko","0.88, 173.9, 0.87, 71%"
JonahP,G2,"viper, skye","0.88, 183.8, 0.83, 66%"
tex,LEV,"gekko, cypher, killjoy","0.88, 194.5, 0.91, 67%"
heybay,TE,"kayo, breach, deadlock","0.86, 163.3, 0.79, 74%"
Lysoar,FPX,"cypher, viper, omen","0.85, 166.6, 0.78, 70%"
Biank,TE,"sova, skye, fade","0.82, 165.5, 0.78, 64%"
Knight,BLG,"cypher, breach, sage","0.80, 147.3, 0.67, 64%"
AtaKaptan,FUT,"viper, brimstone, omen","0.80, 160.8, 0.75, 64%"
MrFaliN,FUT,"omen, gekko, breach","0.78, 172.8, 0.75, 70%"
nephh,BLG,"skye, fade, kayo","0.77, 167.0, 0.68, 58%"
JitBoyS,TLN,"viper, clove, omen","0.76, 181.8, 0.72, 72%"
Governor,TLN,"neon, sova, raze","0.75, 183.3, 0.76, 62%"
Boaster,FNC,"astra, omen","0.71, 122.2, 0.68, 70%"
Life,FPX,"yoru, raze, viper","0.71, 175.8, 0.78, 61%"
Lakia,GEN,"skye, sova, fade","0.61, 118.3, 0.56, 69%"
yosemite,BLG,"viper, cypher, killjoy","0.61, 127.0, 0.52, 55%"
Crws,TLN,"omen, kayo, fade","0.51, 133.8, 0.57, 61%"
